sample_set	sample_id	flow_cell	flow_cell_type	path
200084	200084	m84046_230704_213021_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200084/m84046_230704_213021_s1.ccs.filtered.fastq.gz
200084	200084	m84046_230701_010431_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200084/m84046_230701_010431_s2.ccs.filtered.fastq.gz
200084	200084	m84046_230704_220127_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200084/m84046_230704_220127_s2.ccs.filtered.fastq.gz
NA12879	NA12879	m64076_230302_195823	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12879/m64076_230302_195823.ccs.filtered.fastq.gz
NA12879	NA12879	m64076_230221_200319	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12879/m64076_230221_200319.ccs.filtered.fastq.gz
NA12879	NA12879	m64076_230501_214310	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12879/m64076_230501_214310.ccs.filtered.fastq.gz
NA12879	NA12879	m84046_230508_183534_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12879/m84046_230508_183534_s1.ccs.filtered.fastq.gz
NA12879	NA12879	m84046_230515_221837_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12879/m84046_230515_221837_s1.ccs.filtered.fastq.gz
NA12879	NA12879	m84046_230512_214646_s1	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12879/m84046_230512_214646_s1.ccs.filtered.fastq.gz
NA12879	NA12879	m64076_230503_071720	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12879/m64076_230503_071720.ccs.filtered.fastq.gz
NA12879	NA12879	m64076_230304_051937	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12879/m64076_230304_051937.ccs.filtered.fastq.gz
NA12890	NA12890	m54329U_230413_155849	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12890/m54329U_230413_155849.ccs.filtered.fastq.gz
NA12890	NA12890	m54329U_230415_010656	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12890/m54329U_230415_010656.ccs.filtered.fastq.gz
NA12890	NA12890	m54329U_230416_101505	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/CEPH/NA12890/m54329U_230416_101505.ccs.filtered.fastq.gz
200104	200104	m84046_230517_221800_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200104/m84046_230517_221800_s2.ccs.filtered.fastq.gz
200104	200104	m84039_230317_200114_s1	revio_50	/lustre/scratch122/tol/projects/sperm/data/CEPH/200104/m84039_230317_200114_s1.ccs.filtered.fastq.gz
200104	200104	m84046_230515_204601_s2	revio_40	/lustre/scratch122/tol/projects/sperm/data/CEPH/200104/m84046_230515_204601_s2.ccs.filtered.fastq.gz
